name,core_papers,sources,dblp_current,status,reason_code,reason
Marc Toussaint,39,de-tu-berlin;csrankings,"TU Berlin, Germany",include,,on an institution directory here
Marius Kloft,34,,"University of Kaiserslautern, Department of Computer Science, Germany|Humboldt University of Berlin, Department of Compu",exclude,E08,CSRankings files them at TU Kaiserslautern (de)
Sebastian Pokutta,33,de-tu-berlin;csrankings,"Zuse Institute Berlin (ZIB), Berlin, Germany|Technische Universität Berlin, Berlin, Germany",include,,on an institution directory here
Wojciech Samek,28,de-bifold;de-tu-berlin;csrankings,"Technical University of Berlin, Germany",include,,on an institution directory here
Guillermo Gallego 0002,26,de-tu-berlin;csrankings;csrankings,"TU Berlin, Germany",include,,on an institution directory here
Klaus-Robert Müller,23,de-bifold;de-tu-berlin;csrankings,"Technical University of Berlin, Germany",include,,on an institution directory here
Niclas Boehmer,22,,"Harvard University, USA",exclude,E08,CSRankings files them at Hasso Plattner Institute (de)
Alois C. Knoll,21,,"Technical University Munich, Department of Computer Science, Germany|University of Bielefeld, Department of Computer Sci",exclude,E08,CSRankings files them at TU Munich (de)
Sebastian Lapuschkin,20,,"Fraunhofer Heinrich Hertz Institute, Berlin, Germany",queue,,current DBLP affiliation here but on no institution directory
Gitta Kutyniok,19,,"LMU Munich, Department of Mathematics, Germany",exclude,E08,CSRankings files them at LMU Munich (de)
Oliver Brock,17,de-tu-berlin;csrankings,"Technical University of Berlin, Department of Electrical Engineering and Computer Science, Germany",include,,on an institution directory here
Alan Akbik,17,de-humboldt-university-of-berlin;csrankings,"Humboldt University of Berlin, Department of Computer Science, Germany|Zalando Research, Berlin, Germany|IBM Research, A",include,,on an institution directory here
M. Saquib Sarfraz,16,,"KIT Karlsruhe University, Institute for Anthropomatics and Robotics|COMSATS Institute of Technology, Lahore|Berlin Unive",exclude,E08,DBLP's primary current affiliation is KIT Karlsruhe University; on none of the local directories
Shinichi Nakajima,15,de-bifold;de-tu-berlin,"Berlin Big Data Center, Germany|TU Berlin, Machine Learning Group, Germany|Nikon Corporation, Tokyo, Japan|Tokyo Institu",include,,on an institution directory here
Jannik Peters 0001,15,,"National University of Singapore, Singapore",exclude,E08,DBLP labels the affiliation former
Sebastian Möller 0001,14,de-bifold;de-dfki-be;de-tu-berlin;csrankings,"Technical University of Berlin, Department of Mathematics, Germany",include,,on an institution directory here
Yuyang Wang 0001,13,,"Amazon Web Services, AWS, AI Labs, Palo Alto, CA, USA|Amazon Research, Amazon Development Center, Berlin, Germany",exclude,E08,DBLP's primary current affiliation is Amazon Web Services; on none of the local directories
Robert Bredereck,12,,"TU Clausthal, Germany",exclude,E08,CSRankings files them at TU Clausthal (de)
Ramón Fernandez Astudillo,12,,"INESC-ID, Lisboa, Spoken Language Systems Laboratory|TU Berlin, Electronics and Medical Signal Processing",exclude,E08,DBLP's primary current affiliation is INESC-ID; on none of the local directories
Rolf Niedermeier,12,csrankings,"Technical University of Berlin, Department of Mathematics, Germany",include,,on an institution directory here
Ulrike Schmidt-Kraepelin,12,,"Eindhoven University of Technology, The Netherlands",exclude,E08,CSRankings files them at TU Eindhoven (nl)
David Schlangen,12,de-dfki-be,,queue,,"on a local directory, but DBLP's current affiliation is University of Potsdam"
